Licitacao,Relatorio,Orgao,Descricao,Objeto,Arquivo,Conteudo,Link,Status,Itens
08186277000162-1-000004/2025,08186277000162-1-000004-2025.md,UNIVERSIDADE DO ESTADO DO AMAPA,Edital nº 072/2025/2025,"CONTRATAÇÃO DE SERVIÇOS CONTÍNUOS DE PRODUÇÃO, CONSERVAÇÃO, DISTRIBUIÇÃO DE REFEIÇÕES COLETIVAS (PADRÃO/VEGETARIANA) AOS USUÁRIOS DO RESTAURANTE UNIVERSITÁRIO E AINDA FORNECIMENTO DE MATERIAIS, EQUIPAMENTOS E MÃO DE OBRA DA UNIVERSIDADE DO ESTADO DO AMAPÁ",PE-072-2025.-Producao_-conservacao-e-distribuicao-de-refeicoes-coletivas.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/08186277000162/compras/2025/4/arquivos/2,Ativo,"Contratação de serviços contínuos de produção, conservação, distribuição de refeições coletivas (padrão/vegetariana), com inclusão e fornecimento de materiais, equipamentos e mão de obra. (R$ 3.708.480,00); Prestação de serviço copa / cozinha - cozinheiros / auxiliar de cozinha / servente (R$ 208.924,20)"
34860833000144-1-000060/2024,34860833000144-1-000060-2024.md,UNIVERSIDADE DO ESTADO DO PARA UEP,Edital nº 90010/2024,Registro de preço para futura aquisição de material permanente para atender as necessidades e a adequação da área das instalações do Restaurante Universitário no CCBS/Campus II para a reestruturação dos espaços com potencialidade e melhor atuação no desenvolvimento das atividades.,92561105900102024000.zip,EDITAL COMPLETO PARA PUBLICACAO - PE - SRP - 90010-2024.pdf; RelacaoItens92561105900102024000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/34860833000144/compras/2024/60/arquivos/1,Ativo,"Aparelho ar condicionado (R$ 35.029,96); Aparelho ar condicionado (R$ 42.218,40)"
12671814000137-1-000010/2024,12671814000137-1-000010-2024.md,UNIVERSIDADE ESTADUAL DA PARAIBA,Aviso de Contratação Direta nº 35204-003/2024,AQUISIÇÃO DE MATERIAL PERMANENTE PARA UTILIZAÇÃO NO RESTAURANTE UNIVERSITÁRIO,documento_352040131112024.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/12671814000137/compras/2024/10/arquivos/1,Ativo,"Planilha não contêm itens (exclusivo para EPC, PGGAS, UEPB, CAGEPA, SES, SEE, SEDS e DOCAS_PB) (R$ 38.349,70)"
12671814000137-1-000011/2024,12671814000137-1-000011-2024.md,UNIVERSIDADE ESTADUAL DA PARAIBA,Ato que autoriza a Contratação Direta nº 35204-004/2024,AQUISIÇÃO PARA UTILIZAÇÃO NO RESTAURANTE UNIVERSITÁRIO,documento_352040131122024.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/12671814000137/compras/2024/11/arquivos/1,Ativo,"Planilha não contêm itens (exclusivo para EPC, PGGAS, UEPB, CAGEPA, SES, SEE, SEDS e DOCAS_PB) (R$ 30.865,20)"
12671814000137-1-000023/2025,12671814000137-1-000023-2025.md,UNIVERSIDADE ESTADUAL DA PARAIBA,Ato que autoriza a Contratação Direta nº 35204-028/2025,1.1 AQUISIÇÃO DE MATERIAL DE CONSUMO - RECARGA DE GÁS –COM ENTREGA PARACELADA PARA ATENDER ÀS DEMANDAS DO RESTAURANTE UNIVERSITÁRIO DO CAMPUS V,etl%2Fpncp%2Fdocumento%2Fdocumento_352040026062025.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/12671814000137/compras/2025/23/arquivos/1,Ativo,"Planilha não contêm itens (exclusivo para EPC, PGGAS, UEPB, CAGEPA, SES, SEE, SEDS e DOCAS_PB) (R$ 9.900,00)"
12671814000137-1-000025/2025,12671814000137-1-000025-2025.md,UNIVERSIDADE ESTADUAL DA PARAIBA,Ato que autoriza a Contratação Direta nº 2/2025,AQUISIÇÃO DE MATERIAL DE CONSUMO - RECARGA DE GÁS –COM ENTREGA PARCELADA PARA ATENDER ÀS DEMANDAS DO RESTAURANTE UNIVERSITÁRIO DO CAMPUS V.,AVISO+DE+DISPENSA+28.05.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/12671814000137/compras/2025/25/arquivos/2,Ativo,"Gás Refino De Petróleo tipo: gás liquefeito de petróleo - glp, uso: doméstico (R$ 9.900,00)"
12671814000137-1-000025/2025,12671814000137-1-000025-2025.md,UNIVERSIDADE ESTADUAL DA PARAIBA,Ato que autoriza a Contratação Direta nº 2/2025,AQUISIÇÃO DE MATERIAL DE CONSUMO - RECARGA DE GÁS –COM ENTREGA PARCELADA PARA ATENDER ÀS DEMANDAS DO RESTAURANTE UNIVERSITÁRIO DO CAMPUS V.,TR.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/12671814000137/compras/2025/25/arquivos/1,Ativo,"Gás Refino De Petróleo tipo: gás liquefeito de petróleo - glp, uso: doméstico (R$ 9.900,00)"
12671814000137-1-000030/2025,12671814000137-1-000030-2025.md,UNIVERSIDADE ESTADUAL DA PARAIBA,Edital nº 90016/2025,Registro de preços para contratação de serviço especializado para operacionalização e desenvolvimento integral das atividades necessárias ao fornecimento de refeições (almoço e jantar) nos restaurantes universitários do Campus V (João Pessoa) e do Campus VI (Monteiro) da Universidade Estadual da Paraíba - UEPB.,92531605900162025000.zip,Edital SRP PE 90016.2025 - UNIFICADO.pdf; RelacaoItens92531605900162025000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/12671814000137/compras/2025/30/arquivos/1,Ativo,"Refeições Industriais - Preparo / Distribuição (R$ 941.850,00); Refeições Industriais - Preparo / Distribuição (R$ 376.740,00)"
12671814000137-1-000038/2025,12671814000137-1-000038-2025.md,UNIVERSIDADE ESTADUAL DA PARAIBA,Edital nº 35204-016/2025,REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE SERVIÇO ESPECIALIZADO NO FORNECIMENTO DE REFEIÇÕES (ALMOÇO E JANTAR) NOS RESTAURANTES UNIVERSITÁRIOS DO CAMPUS V E DO CAMPUS VI,etl%2Fpncp%2Fdocumento%2Fdocumento_352040033422025.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/12671814000137/compras/2025/38/arquivos/1,Ativo,"JANTAR, conforme detalhamento em termo de referência. (R$ 376.740,00); SERVIÇO especializado em preparo e fornecimento contínuo de refeições prontas, tipo almoço, conforme Termo de Referência. (R$ 941.850,00)"
26677304000181-1-000011/2025,26677304000181-1-000011-2025.md,UNIVERSIDADE ESTADUAL DA REGIAO TOCANTINA DO MARANHAO,Edital nº 053/2025/2025,"Contratação de empresa especializada na prestação de serviço para fornecimento de refeições (almoço e jantar), a serem preparadas e servidas pela licitante nas dependências do Restaurante Universitário da Universidade Estadual da Região Tocantina do Maranhão UEMASUL, Campus Imperatriz, incluindo o fornecimento de todos os insumos, materiais e mão de obra necessários à realização destas atividades.",Capa_Licitacao_053%2F2025_2025.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/26677304000181/compras/2025/11/arquivos/1,Ativo,"Contratação de empresa especializada para fornecimento de refeições (almoço e jantar), a serem preparadas e servidas pela licitante nas dependências do Restaurante Universitário da Universidade Estadual da Região Tocantina do Maranhão – UEMASUL, Campus Imperatriz Centro, incluindo o fornecimento de todos os insumos, materiais e mão de obra necessários à realização destas atividades (R$ 7.992.000,00)"
26677304000181-1-000011/2025,26677304000181-1-000011-2025.md,UNIVERSIDADE ESTADUAL DA REGIAO TOCANTINA DO MARANHAO,Edital nº 053/2025/2025,"Contratação de empresa especializada na prestação de serviço para fornecimento de refeições (almoço e jantar), a serem preparadas e servidas pela licitante nas dependências do Restaurante Universitário da Universidade Estadual da Região Tocantina do Maranhão UEMASUL, Campus Imperatriz, incluindo o fornecimento de todos os insumos, materiais e mão de obra necessários à realização destas atividades.",MINUTA-EDITAL-ATUALIZADA.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/26677304000181/compras/2025/11/arquivos/2,Ativo,"Contratação de empresa especializada para fornecimento de refeições (almoço e jantar), a serem preparadas e servidas pela licitante nas dependências do Restaurante Universitário da Universidade Estadual da Região Tocantina do Maranhão – UEMASUL, Campus Imperatriz Centro, incluindo o fornecimento de todos os insumos, materiais e mão de obra necessários à realização destas atividades (R$ 7.992.000,00)"
46068425000133-1-001231/2024,46068425000133-1-001231-2024.md,UNIVERSIDADE ESTADUAL DE CAMPINAS,Ato que autoriza a Contratação Direta nº 812/2024,Trata o presente de contratação de renovação da licença de uso do software da Inova Tecnologia para continuidade do serviço de pagamento via pix para os restaurantes universitários.,sec+e+ato+inova.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/46068425000133/compras/2024/1231/arquivos/1,Ativo,"Licenciamento de Direitos Permanentes de Uso de Outros Softwares / Programas de Computador Licenciamento de Direitos Permanentes de Uso de Outros Softwares / Programas de Computador (R$ 13.500,00)"
46068425000133-1-001235/2024,46068425000133-1-001235-2024.md,UNIVERSIDADE ESTADUAL DE CAMPINAS,Edital nº 90157/2024,"Contratação de serviços contínuos de produção e distribuição de refeições para os restaurantes universitários dos campi de Campinas, Limeira e Piracicaba.",45016105901572024002.zip,2.Edital PE DGA 90157_2024 e anexos.zip; 2.Edital PE DGA 90157_2024 e anexos.zip/1.Edital PE DGA 90157_2024 e anexos.pdf; 2.Edital PE DGA 90157_2024 e anexos.zip/2.Anexo II edital-Modelo de proposta.xlsx; 2.Edital PE DGA 90157_2024 e anexos.zip/3.Anexo II TR - Contêiner RS.jpg; 2.Edital PE DGA 90157_2024 e anexos.zip/4.Plantas Baixas do RU - Imagem I.tif; 2.Edital PE DGA 90157_2024 e anexos.zip/5.Plantas Baixas do RU - Imagem II.pdf; 2.Edital PE DGA 90157_2024 e anexos.zip/6.Planta Restaurante Saturnino - RS - Imagem I.pdf; 2.Edital PE DGA 90157_2024 e anexos.zip/7.ADENDO I.pdf; RelacaoItens45016105901572024000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/46068425000133/compras/2024/1235/arquivos/3,Ativo,"Refeições Industriais - Preparo / Distribuição (R$ 0,00)"
