Licitacao,Relatorio,Orgao,Descricao,Objeto,Arquivo,Conteudo,Link,Status,Itens
00394452000103-1-008515/2022,00394452000103-1-008515-2022.md,COMANDO DO EXERCITO,Edital nº 00768/2022,"Contratação de empresa de engenharia, sob o regime de empreitada global, para a execução dos serviços de reforma, com redução de área de ocupação, do estacionamento do Escritório Regional da FHE (ESCSP), estabelecido à Rua Tutóia, Nº 586, Paraíso, em São Paulo/SP, juntamente com a realização de serviços de manutenções pontuais na edificação, conforme especificações técnicas, contidas no Projeto Básico, Anexo I do edital.",16800103007682022000.zip,Edital n 768.2022.v1.COJUR assinado.pdf; RelacaoItens16800103007682022000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2022/8515/arquivos/1,Ativo,"Serviço Engenharia (R$ 391.781,49)"
33839275000172-1-000007/2023,33839275000172-1-000007-2023.md,CONSELHO FEDERAL DE QUIMICA,Edital nº 00002/2023,"Contratação de empresa especializada no gerenciamento, assessoramento e fiscalização da obra de reforma do prédio de propriedade do Conselho Federal de Química (CFQ), localizado no Setor de Autarquias Sul, Quadra 05, Lotes 3/5 Bloco I – Edifício CFQ – Brasília-DF.",38926003000022023000.zip,Edital da Concorrencia n 02.2023 - Fiscalizacao da Obra Sede Saus.zip; Edital da Concorrencia n 02.2023 - Fiscalizacao da Obra Sede Saus.zip/Edital da Concorrência nº 02.2023 - Fiscalização da Obra Sede Saus/; Edital da Concorrencia n 02.2023 - Fiscalizacao da Obra Sede Saus.zip/Edital da Concorrência nº 02.2023 - Fiscalização da Obra Sede Saus/Anexo I - Termo de Referência - Fiscalização Obra Sede Saus.pdf; Edital da Concorrencia n 02.2023 - Fiscalizacao da Obra Sede Saus.zip/Edital da Concorrência nº 02.2023 - Fiscalização da Obra Sede Saus/Anexo II - Estudo Técnico Preliminar- Fiscalização da Obra Sede Saus.pdf; Edital da Concorrencia n 02.2023 - Fiscalizacao da Obra Sede Saus.zip/Edital da Concorrência nº 02.2023 - Fiscalização da Obra Sede Saus/Edital Concorrência Eletrônica 02.2023 - Fiscalização da Obra Sede Saus.pdf; RelacaoItens38926003000022023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/33839275000172/compras/2023/7/arquivos/1,Ativo,"Supervisão / Gerenciamento / Fiscalização - Projeto Constru-ção / Obras Civis (R$ 779.017,87)"
76639384000159-1-000133/2023,76639384000159-1-000133-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00002/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Toledo – PR.",38908803000022023000.zip,N 020-23 (Concorrencia 002 - Reforma Toledo).pdf; RelacaoItens38908803000022023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/133/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 52.938,37)"
76639384000159-1-000134/2023,76639384000159-1-000134-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00003/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Arapongas–PR.",38908803000032023000.zip,N 021-23 (Concorrencia 003 - Reforma Arapongas).pdf; RelacaoItens38908803000032023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/134/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 71.934,46)"
76639384000159-1-000135/2023,76639384000159-1-000135-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00004/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Castro–PR.",38908803000042023000.zip,N 022-23 (Concorrencia 004 - Reforma Castro).pdf; RelacaoItens38908803000042023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/135/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 67.919,56)"
76639384000159-1-000140/2023,76639384000159-1-000140-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00005/2023,"Prestação de serviços de execução de projetos na área de engenharia elétrica, visando à unificação de entradas de energia em imóvel localizado em Curitiba – PR.",38908803000052023000.zip,N 023-23 (Concorrencia 005 - Entrada energia sede).pdf; RelacaoItens38908803000052023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/140/arquivos/1,Ativo,"Obras Civis de Linhas de Transmissão de Energia Elétrica (R$ 202.937,70)"
76639384000159-1-000142/2023,76639384000159-1-000142-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00006/2023,Prestação de serviços de engenharia para elaboração de estudos técnicos e projeto executivo de eficiência energética – utilizando tecnologia BIM (Building Information Modeling) visando a instalação de sistemas fotovoltaicos em edificações localizadas no Paraná.,38908803000062023000.zip,N 024-23 (Concorrencia 006 - Projeto sistema fotovoltaico).pdf; RelacaoItens38908803000062023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/142/arquivos/1,Ativo,"Consultoria e Assessoria - Energia Renovável / ConservaçãoEnergia (R$ 263.000,00)"
76639384000159-1-000143/2023,76639384000159-1-000143-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00007/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Londrina–PR.",38908803000072023000.zip,N 025-23 (Concorrencia 007 - Reforma Londrina).pdf; RelacaoItens38908803000072023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/143/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 1.425.325,91)"
76639384000159-1-000144/2023,76639384000159-1-000144-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00008/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Paranaguá–PR.",38908803000082023000.zip,N 026-23 (Concorrencia 008 - Reforma Paranagua).pdf; RelacaoItens38908803000082023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/144/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 31.836,56)"
76639384000159-1-000145/2023,76639384000159-1-000145-2023.md,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,Edital nº 00009/2023,"Prestação de serviços de execução de projeto básico e executivo nas áreas de engenharia, visando a reforma de edificação localizada em Irati–PR.",38908803000092023000.zip,N 027-23 (Concorrencia 009 - Reforma Irati).pdf; RelacaoItens38908803000092023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2023/145/arquivos/1,Ativo,"Obras Civis - Pequenas Obras / Pintura em Geral (R$ 151.563,06)"
23773012000154-1-000007/2023,23773012000154-1-000007-2023.md,CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO REGIONAL - CONDER,Edital nº 1/2023,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE SERVIÇOS REMANESCENTES DE PROJETOS ELÉTRICOS DE ENTRADA DE ENERGIA, LÓGICA, ALARME DE INCÊNDIO E SPDA NO LOTE INDUSTRIAL Nº 05, MATRÍCULA IMOBILIÁRIA Nº. 45.151, LINHA TUPANCY, MUNICÍPIO DE SÃO MIGUEL DO OESTE/SC, CONFORME AS ESPECIFICAÇÕES E NORMAS ESTABELECIDAS NO MEMORIAL DESCRITIVO, PLANILHA ORÇAMENTÁRIA, CRONOGRAMA FÍSICO FINANCEIRO E DEMAIS ESPECIFICAÇÕES TÉCNICAS.",/var/www/html/conder.atende.net/temp/WCO/PNCP/Editaledital_24_2023_20074_documento.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/23773012000154/compras/2023/7/arquivos/1,Ativo,"EXECUÇÃO DE SERVIÇOS REMANESCENTES DE PROJETOS ELÉTRICOS DE ENTRADA DE ENERGIA, LÓGICA, ALARME DE INCÊNDIO E SPDA NO LOTE INDUSTRIAL Nº 05, MATRÍCULA IMOBILIÁRIA Nº. 45.151, LINHA TUPANCY, MUNICÍPIO DE SÃO MIGUEL DO OESTE/SC, CONFORME AS ESPECIFICAÇÕES E NORMAS ESTABELECIDAS NO MEMORIAL DESCRITIVO, PLANILHA ORÇAMENTÁRIA, CRONOGRAMA FÍSICO FINANCEIRO E DEMAIS ESPECIFICAÇÕES TÉCNICAS. (R$ 134.475,92)"
23773012000154-1-000009/2023,23773012000154-1-000009-2023.md,CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO REGIONAL - CONDER,Edital nº 24/2023/2023,"[Portal de Compras Públicas] - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE SERVIÇOS REMANESCENTES DE PROJETOS ELÉTRICOS DE ENTRADA DE ENERGIA, LÓGICA, ALARME DE INCÊNDIO E SPDA NO LOTE INDUSTRIAL Nº 05, MATRÍCULA IMOBILIÁRIA Nº. 45.151, LINHA TUPANCY, MUNICÍPIO DE SÃO MIGUEL DO OESTE/SC, CONFORME AS ESPECIFICAÇÕES E NORMAS ESTABELECIDAS NO MEMORIAL DESCRITIVO, PLANILHA ORÇAMENTÁRIA, CRONOGRAMA FÍSICO FINANCEIRO E DEMAIS ESPECIFICAÇÕES TÉCNICAS.",SPDA02.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/23773012000154/compras/2023/9/arquivos/1,Ativo,"EXECUÇÃO DE SERVIÇOS REMANESCENTES DE PROJETOS ELÉTRICOS DE ENTRADA DE ENERGIA, LÓGICA, ALARME DE INCÊNDIO E SPDA NO LOTE INDUSTRIAL Nº 05, MATRÍCULA IMOBILIÁRIA Nº. 45.151, LINHA TUPANCY, MUNICÍPIO DE SÃO MIGUEL DO OESTE/SC, CONFORME AS ESPECIFICAÇÕES E NORMAS ESTABELECIDAS NO MEMORIAL DESCRITIVO, PLANILHA ORÇAMENTÁRIA, CRONOGRAMA FÍSICO FINANCEIRO E DEMAIS ESPECIFICAÇÕES TÉCNICAS. (R$ 134.475,92)"
00375114000116-1-000132/2022,00375114000116-1-000132-2022.md,DEFENSORIA PUBLICA DA UNIAO,Edital nº 00002/2022,"Contratação de empresa especializada em engenharia e arquitetura para execução de reforma predial em edificação própria nacional não residencial com vistas à ocupação integral da Unidade da DPU - ABC Paulista, com fornecimento de materiais, mão de obra, equipamentos, insumos, transportes, encargos sociais, BDI e demais encargos, com o objetivo de melhorar as condições de acessibilidade e infraestrutura predial do imóvel na Rua Sargaços,135 Jardim do Mar, São Bernardo do Campo-SP",29000203000022022000.zip,CONCORRENCIA 02-2022 REFORMA DPU SAO BERNARDO DO CAMPO-SP.zip; CONCORRENCIA 02-2022 REFORMA DPU SAO BERNARDO DO CAMPO-SP.zip/CONCORR╥NCIA 02-2022 REFORMA DPU S╟O BERNARDO DO CAMPO-SP.docx; CONCORRENCIA 02-2022 REFORMA DPU SAO BERNARDO DO CAMPO-SP.zip/CONCORR╥NCIA 02-2022 REFORMA DPU S╟O BERNARDO DO CAMPO-SP.pdf; CONCORRENCIA 02-2022 REFORMA DPU SAO BERNARDO DO CAMPO-SP.zip/ETP161_2022.pdf; RelacaoItens29000203000022022000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/00375114000116/compras/2022/132/arquivos/1,Ativo,"Manutenção / reforma predial (R$ 790.043,56)"
00375114000116-1-000133/2022,00375114000116-1-000133-2022.md,DEFENSORIA PUBLICA DA UNIAO,Edital nº 00001/2022,"Contratação de empresa especializada em engenharia e arquitetura para execução de reforma predial em edificação própria nacional não residencial, que abriga a Unidade da Defensoria Pública da União - DPU em Londrina – PR, com fornecimento de materiais, mão de obra, equipamentos, insumos, transportes, encargos sociais, BDI e demais encargos, com o objetivo de melhorar as condições de acessibilidade e infraestrutura predial do imóvel situado na Rua Pio XII, nº 56, Bairro Centro.",29000203000012022000.zip,CONCORRENCIA 01 2022 REFORMA DPU LONDRINA.zip; CONCORRENCIA 01 2022 REFORMA DPU LONDRINA.zip/CONCORR╥NCIA 01 2022 REFORMA DPU LONDRINA.pdf; RelacaoItens29000203000012022000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/00375114000116/compras/2022/133/arquivos/1,Ativo,"Manutenção / Reforma Predial (R$ 996.268,09)"
76669324000189-1-000001/2023,76669324000189-1-000001-2023.md,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA,Edital nº 3/2023,"Contratação Integrada de empresa para elaboração dos Projetos Básico e Executivo e execução das obras de implantação de Variante na PR-364, desviando da área urbana do Bairro Riozinho no município de Irati, com uma extensão de 1,64 km.",02a Edital e Anexos.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/76669324000189/compras/2023/1/arquivos/1,Ativo,"(L1) 902.28967-Manutenção, Conservação e Ampliação de Capacidade, De Obras Rodoviárias do DER/PR, UNID. DE MEDIDA: Unitário (R$ 1,00)"
76669324000189-1-000001/2023,76669324000189-1-000001-2023.md,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA,Edital nº 3/2023,"Contratação Integrada de empresa para elaboração dos Projetos Básico e Executivo e execução das obras de implantação de Variante na PR-364, desviando da área urbana do Bairro Riozinho no município de Irati, com uma extensão de 1,64 km.",02b Anexo I - Atos Preparatorios e Termo de Referencia.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/76669324000189/compras/2023/1/arquivos/2,Ativo,"(L1) 902.28967-Manutenção, Conservação e Ampliação de Capacidade, De Obras Rodoviárias do DER/PR, UNID. DE MEDIDA: Unitário (R$ 1,00)"
15126437000143-1-000066/2023,15126437000143-1-000066-2023.md,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,Edital nº 00010/2023,"Cessão de uso, onerosa, de área física do Hospital Universitário de Sergipe, destinada EXCLUSIVAMENTE à exploração e operação comercial de serviços de restaurante e lanchonete na área da Vivência do campus da saúde.",15501705000102023001.zip,PE 10-2023 Restaurante.zip; PE 10-2023 Restaurante.zip/Anexo I - Termo de Referência - SEI.pdf; PE 10-2023 Restaurante.zip/ANEXO II- Declaraç╞o de partes n╞o relacionadas.pdf; PE 10-2023 Restaurante.zip/Anexo III- Minuta de Contrato.pdf; PE 10-2023 Restaurante.zip/L13709- Acesso a Informaç╞o.pdf; PE 10-2023 Restaurante.zip/Minuta de Edital 2022.pdf; RelacaoItens15501705000102023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/15126437000143/compras/2023/66/arquivos/2,Ativo,"Cantina / bar / lanchonete / refeição rápida / restaurante (R$ 72.000,00)"
15126437000143-1-003515/2024,15126437000143-1-003515-2024.md,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,Edital nº 90051/2024,"Cessão de uso, onerosa, de área física do Hospital Universitário da Grande Dourados (HU-UFGD), destinada EXCLUSIVAMENTE à exploração e operação comercial de serviços de cantina",15501605900512024000.zip,SEI_23529.003743_2024_63.zip; SEI_23529.003743_2024_63.zip/[1]-43742201_Termo_de_Referencia___SEI.html; SEI_23529.003743_2024_63.zip/[2]-43765893_Anexo_III_TABELA_DE_PRECOS_A_SEREM_EXECUTADOS.pdf; SEI_23529.003743_2024_63.zip/[3]-43765903_Anexo_IV__CRITERIOS_DA_PESQUISA_DE_SATISFACAO.pdf; SEI_23529.003743_2024_63.zip/[4]-43768600_Anexo_V__CRITERIOS_DA_AVALIACAO_TECNICA.pdf; SEI_23529.003743_2024_63.zip/[5]-43768664_Anexo_VI__PARAMETROS_PARA_A_CONCESSAO_DO_DESCONTO.pdf; SEI_23529.003743_2024_63.zip/[6]-43768672_Anexo_VII__MODELO_DE_PROPOSTA.pdf; SEI_23529.003743_2024_63.zip/[7]-43837361_Edital___SEI_90051.html; RelacaoItens15501605900512024000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/15126437000143/compras/2024/3515/arquivos/1,Ativo,"Cantina / Bar / Lanchonete / Refeição Rápida / Restaurante (R$ 54.480,00); Cantina / Bar / Lanchonete / Refeição Rápida / Restaurante (R$ 11.890,08)"
13937032000160-1-000090/2023,13937032000160-1-000090-2023.md,ESTADO DA BAHIA,Edital nº 00001/2023,"Serviços de engenharia/arquitetura para a reforma e ampliação do Colégio Municipal Brás Bispo de Oliveira, no distrito de Moenda, município de Presidente Tancredo Neves, Bahia, conforme especificações, quantidades e descrições constantes deste edital, do projeto básico e demais elementos técnicos anexos.",98302303000012023000.zip,Edital e Anexos.pdf; RelacaoItens98302303000012023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/13937032000160/compras/2023/90/arquivos/1,Ativo,"Obras civis - pequenas obras / pintura em geral (R$ 1.955.975,28)"
13937032000160-1-000103/2023,13937032000160-1-000103-2023.md,ESTADO DA BAHIA,Edital nº 00002/2023,"Serviços de engenharia para execução de Implantação de Melhorias Sanitárias Domiciliares, a serem realizadas na região de Corte de Pedra, Pau da Letra e região da Tesoura, no Município de Presidente Tancredo Neves - Bahia, conforme especificações, quantidades e descrições constantes das peças técnicas auxiliares, que ficam anexas.",98302303000022023000.zip,Edital e Anexos.pdf; RelacaoItens98302303000022023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/13937032000160/compras/2023/103/arquivos/1,Ativo,"Serviço engenharia (R$ 140.105,28)"
13937032000160-1-000644/2024,13937032000160-1-000644-2024.md,ESTADO DA BAHIA,Edital nº 006/2024/2024,"O presente certame tem por objeto a execução dos recursos destinados a aquisição de material de consumo para apoiar a implementação de Restaurantes Universitários nos campi da Universidade do Estado da Bahia (UNEB), situados nos munícipios de Alagoinhas e Juazeiro.",Edital.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/13937032000160/compras/2024/644/arquivos/2,Ativo,"LIXEIRA, com tampa, capacidade para 100 litros, em polietileno de alta densidade, com pedal em polietileno para abrir e fechar a tampa, com paredes e fundos reforçados resistentes a impactos, sem soldas ou emendas. As seguintes informacoes deverao ser impressas e coladas pelo fabricante diretamente sobre o produto: nome ou CNPJ do fabricante, marca do produto e capacidade. (R$ 65.167,50); CAIXA, plastica, tipo BIN, nº 5, capacidade aproximada de 4 litros, material polipropileno de alta densidade, medidas aproximadas de 25 cm de comprimento, 15 cm de largura e 11 cm de altura, para organizacao de materiais, cor preta, com trava lateral. (R$ 946,00)"
13937032000160-1-000644/2024,13937032000160-1-000644-2024.md,ESTADO DA BAHIA,Edital nº 006/2024/2024,"O presente certame tem por objeto a execução dos recursos destinados a aquisição de material de consumo para apoiar a implementação de Restaurantes Universitários nos campi da Universidade do Estado da Bahia (UNEB), situados nos munícipios de Alagoinhas e Juazeiro.",Edital.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/13937032000160/compras/2024/644/arquivos/3,Ativo,"LIXEIRA, com tampa, capacidade para 100 litros, em polietileno de alta densidade, com pedal em polietileno para abrir e fechar a tampa, com paredes e fundos reforçados resistentes a impactos, sem soldas ou emendas. As seguintes informacoes deverao ser impressas e coladas pelo fabricante diretamente sobre o produto: nome ou CNPJ do fabricante, marca do produto e capacidade. (R$ 65.167,50); CAIXA, plastica, tipo BIN, nº 5, capacidade aproximada de 4 litros, material polipropileno de alta densidade, medidas aproximadas de 25 cm de comprimento, 15 cm de largura e 11 cm de altura, para organizacao de materiais, cor preta, com trava lateral. (R$ 946,00)"
08761124000100-1-000214/2024,08761124000100-1-000214-2024.md,ESTADO DA PARAIBA,Ato que autoriza a Contratação Direta nº 3/2024,AQUISIÇÃO DE MATERIAL PERMANENTE PARA UTILIZAÇÃO NO RESTAURANTE UNIVERSITÁRIO,AVISO+DE+DISPENSA.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/08761124000100/compras/2024/214/arquivos/2,Ativo,"Fogão Industrial características adicionais: grelhas em ferro fundido 40 cm x 40 cm, 04 queimad, funcionamento: gás, material: aço inoxidável, quantidade bocas: 4, tipo acendimento: manual, tipo uso: cozinhar e assar alimentos (R$ 1.780,00); Chapa Assadeira/Fritadeira altura: 2, características adicionais: para grelhados e pizzas, comprimento: 53, funcionamento: sobrepor queimadores elétricos ou a gás, largura: 32,50, material: alumínio fundido (R$ 960,00)"
08761124000100-1-000214/2024,08761124000100-1-000214-2024.md,ESTADO DA PARAIBA,Ato que autoriza a Contratação Direta nº 3/2024,AQUISIÇÃO DE MATERIAL PERMANENTE PARA UTILIZAÇÃO NO RESTAURANTE UNIVERSITÁRIO,TERMO+DE+REFERENCIA.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/08761124000100/compras/2024/214/arquivos/1,Ativo,"Fogão Industrial características adicionais: grelhas em ferro fundido 40 cm x 40 cm, 04 queimad, funcionamento: gás, material: aço inoxidável, quantidade bocas: 4, tipo acendimento: manual, tipo uso: cozinhar e assar alimentos (R$ 1.780,00); Chapa Assadeira/Fritadeira altura: 2, características adicionais: para grelhados e pizzas, comprimento: 53, funcionamento: sobrepor queimadores elétricos ou a gás, largura: 32,50, material: alumínio fundido (R$ 960,00)"
08761124000100-1-000215/2024,08761124000100-1-000215-2024.md,ESTADO DA PARAIBA,Ato que autoriza a Contratação Direta nº 4/2024,AQUISIÇÃO DE MATERIAL DE CONSUMO PARA UTILIZAÇÃO NO RESTAURANTE UNIVERSITÁRIO DO CAMPUS V – JOÃO PESSOA DA UEPB.,WEB+-+Comprovante+da+publicacao+DL+07-2024.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/08761124000100/compras/2024/215/arquivos/1,Ativo,"Botijão Para Gás acessórios: com válvula e mecanismo de segurança, capacidade: cerca de 13, uso: doméstico (R$ 398,00); Gás Refino De Petróleo tipo: gás liquefeito de petróleo - glp, uso: doméstico (R$ 11.900,00)"
08761124000100-1-000248/2024,08761124000100-1-000248-2024.md,ESTADO DA PARAIBA,Ato que autoriza a Contratação Direta nº 5/2024,Aquisição de utensílios para utilização no Restaurante Universitário.,AVISO+DE+DISPENSA.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/08761124000100/compras/2024/248/arquivos/2,Ativo,"Caldeirão capacidade: 38, características adicionais: com tampa e alça em alumínio, material: alumínio fundido (R$ 478,00); Caldeirão capacidade: 38 a 42, características adicionais: com tampas e alças reforçadas, formato: cilíndrico, material: alumínio, tamanho: grande, altura: 34 a 36, espessura: 2 a 4 (R$ 897,00)"
08761124000100-1-000248/2024,08761124000100-1-000248-2024.md,ESTADO DA PARAIBA,Ato que autoriza a Contratação Direta nº 5/2024,Aquisição de utensílios para utilização no Restaurante Universitário.,TERMO+DE+REFERENCIA.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/08761124000100/compras/2024/248/arquivos/1,Ativo,"Caldeirão capacidade: 38, características adicionais: com tampa e alça em alumínio, material: alumínio fundido (R$ 478,00); Caldeirão capacidade: 38 a 42, características adicionais: com tampas e alças reforçadas, formato: cilíndrico, material: alumínio, tamanho: grande, altura: 34 a 36, espessura: 2 a 4 (R$ 897,00)"
08761124000100-1-000534/2024,08761124000100-1-000534-2024.md,ESTADO DA PARAIBA,Ato que autoriza a Contratação Direta nº 9/2024,AQUISIÇÃO DE COIFA PARA UTILIZAÇÃO NO LOCAL ONDE FUNCIONA O RESTAURANTE UNIVERSITÁRIO DO CAMPUS V (JOÃO PESSOA) DA UEPB.,AVISO+DE+DISPENSA+-+DL+N+016-2024.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/08761124000100/compras/2024/534/arquivos/2,Ativo,"Coifa aplicação: cozinha, características adicionais: com exaustor, material: aço inoxidável, tipo: apoiada em parede (R$ 22.453,63)"
08761124000100-1-000534/2024,08761124000100-1-000534-2024.md,ESTADO DA PARAIBA,Ato que autoriza a Contratação Direta nº 9/2024,AQUISIÇÃO DE COIFA PARA UTILIZAÇÃO NO LOCAL ONDE FUNCIONA O RESTAURANTE UNIVERSITÁRIO DO CAMPUS V (JOÃO PESSOA) DA UEPB.,TR+%2B+ANEXOS.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/08761124000100/compras/2024/534/arquivos/1,Ativo,"Coifa aplicação: cozinha, características adicionais: com exaustor, material: aço inoxidável, tipo: apoiada em parede (R$ 22.453,63)"
08761124000100-1-000535/2024,08761124000100-1-000535-2024.md,ESTADO DA PARAIBA,Ato que autoriza a Contratação Direta nº 10/2024,AQUISIÇÃO DE COIFA PARA UTILIZAÇÃO NO LOCAL ONDE FUNCIONA O RESTAURANTE UNIVERSITÁRIO DO CAMPUS VI (MONTEIRO) DA UEPB.,AVISO+DE+DISPENSA+-+DL+N+015-2024.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/08761124000100/compras/2024/535/arquivos/1,Ativo,"Coifa aplicação: cozinha, características adicionais: com exaustor, material: aço inoxidável, tipo: apoiada em parede (R$ 22.453,63)"
08761124000100-1-000535/2024,08761124000100-1-000535-2024.md,ESTADO DA PARAIBA,Ato que autoriza a Contratação Direta nº 10/2024,AQUISIÇÃO DE COIFA PARA UTILIZAÇÃO NO LOCAL ONDE FUNCIONA O RESTAURANTE UNIVERSITÁRIO DO CAMPUS VI (MONTEIRO) DA UEPB.,TR+%2B+ANEXOS.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/08761124000100/compras/2024/535/arquivos/2,Ativo,"Coifa aplicação: cozinha, características adicionais: com exaustor, material: aço inoxidável, tipo: apoiada em parede (R$ 22.453,63)"
01409580000138-1-000115/2023,01409580000138-1-000115-2023.md,ESTADO DE GOIAS,Edital nº 00001/2023,"A presente licitação tem por objeto o Registro de Preços para a eventual e futura contratação de empresa especializada na prestação de serviços de execução de manutenção de vias e revitalização de capa asfáltica, incluindo remendo profundo, reciclagem de base, base de solo estabilizado granulometricamente, fresagem, reforço da pavimentação com geogrelha, whitetopping (pavimento de concreto), pintura de ligação, concreto betuminoso usinado a quente – CBUQ.",92674803000012023000.zip,EDITAL CE 001-2023-SRP.zip; EDITAL CE 001-2023-SRP.zip/Matriz_de_Risco___Recap_500km.pdf; EDITAL CE 001-2023-SRP.zip/PROJETO_BASICO_500KM.pdf; EDITAL CE 001-2023-SRP.zip/SEI_1633847_Edital.pdf; RelacaoItens92674803000012023000.pdf,https://pncp.gov.br/pncp-api/v1/orgaos/01409580000138/compras/2023/115/arquivos/1,Ativo,"Obras civis de pavimentação asfáltica (R$ 7.915.721,22); Obras civis de pavimentação asfáltica (R$ 8.269.372,48)"
01409580000138-1-002926/2024,01409580000138-1-002926-2024.md,ESTADO DE GOIAS,Edital nº 108027/2024,"Contratação de empresa especializada para execução de reparos e correções de patologias no sistema de cobertura das quatro edificações que abrigam a Administração Central, o Restaurante Universitário e o Auditório do Mestrado do Campus Central, incluindo todo o material e a mão de obra necessários para a execução dos serviços, conforme especificado no Termo de Referência.",20250508100942_108027_arquivo.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/01409580000138/compras/2024/2926/arquivos/1,Ativo,"Manutenções de Engenharia, manutenção predial. (R$ 650.427,57)"
01409580000138-1-002926/2024,01409580000138-1-002926-2024.md,ESTADO DE GOIAS,Edital nº 108027/2024,"Contratação de empresa especializada para execução de reparos e correções de patologias no sistema de cobertura das quatro edificações que abrigam a Administração Central, o Restaurante Universitário e o Auditório do Mestrado do Campus Central, incluindo todo o material e a mão de obra necessários para a execução dos serviços, conforme especificado no Termo de Referência.",20250512132628_108027_arquivo.pdf,,https://pncp.gov.br/pncp-api/v1/orgaos/01409580000138/compras/2024/2926/arquivos/2,Ativo,"Manutenções de Engenharia, manutenção predial. (R$ 650.427,57)"
